100,100
153,153
152,152
135,135
122,122
126,126
152,152
160,160
146,146
128,128
121,121
118,118
165,165
153,153
152,152
127,127
167,167
123,123
149,149
119,119
127,127
130,130
152,152
113,113
146,146
141,141
157,157
145,145
119,119
111,111
119,119
123,123
122,122
115,115
142,142
147,147
120,120
157,157
115,115
159,159
115,115
188,188
117,117
116,116
128,128
161,161
176,176
140,140
153,153
120,120
111,111
143,143
142,142
118,118
152,152
114,114
110,110
164,164
119,119
123,123
155,155
119,119
135,135
125,125
