 Comparing data ...
55
138
88
123
128
154
128
108
101
162
154
143
140
190
180
182
149
115
164
65
128
148
99
74
159
208
159
164
145
133
106
152
175
100
163
133
156
145
162
154
178
119
127
146
134
116
174
181
92
151
145
128
165
156
109
142
133
128
186
72
180
66
130
114
120
59
52
120
85
131
134
116
59
120
130
103
89
68
120
86
99
89
111
118
79
79
68
94
76
118
125
88
72
86
118
118
134
92
97
92
118
95
107
94
101
140
88
86
88
97
95
131
73
78
111
148
131
78
87
65
74
92
94
152
72
127
70
105
Test Success
